frame_id,timestamp,approach,predicted,confidence,latency_ms,system_state,reasoning,cpu_pct,ram_mb,gpu_pct,ground_truth,correct,image_name
frame_000001,2026-06-27T16:08:26.263309+00:00,claude_api,sitting,0.85,3429.6,error,"A bald man wearing glasses and a white t-shirt is clearly visible close to the camera. The camera angle is looking up at him, suggesting he is seated at a desk with the webcam below eye level. His sho",0.0,163.2,,,,
frame_000002,2026-06-27T16:08:30.061421+00:00,claude_api,sitting,0.85,3786.5,error,"A person is clearly visible, bald with glasses, wearing a white t-shirt. The camera angle is looking up at them from below (likely a desk-mounted webcam), and they appear to be leaning forward close t",1.4,168.9,,,,
frame_000003,2026-06-27T16:08:34.274200+00:00,claude_api,sitting,0.85,4208.0,transition_pending,"A bald man wearing glasses and a white t-shirt is clearly visible. He is at a low angle relative to the camera, with his elbow resting on a surface and his hand under his chin in a thinking pose. His ",1.7,171.6,,,,
frame_000004,2026-06-27T16:08:38.300858+00:00,claude_api,sitting,0.85,4022.5,transition_pending,"A bald man wearing glasses and a white t-shirt is visible in the lower portion of the frame. The camera angle is from below, looking up at him. His hand is raised to his chin in a thoughtful pose. Bas",1.7,171.6,,,,
frame_000005,2026-06-27T16:08:42.704482+00:00,claude_api,sitting,0.6,4398.9,transition_pending,"A bald man wearing glasses and a white t-shirt is visible in the frame. The camera appears to be positioned low (likely on a desk), and the person is seen from slightly below, with their upper body an",1.2,171.7,,,,
frame_000006,2026-06-27T16:08:46.197611+00:00,claude_api,sitting,0.85,3487.9,transition_pending,"A person is clearly visible, bald with glasses, wearing a white t-shirt. The camera angle is from below looking up, suggesting the person is seated at a desk with a webcam positioned low. The close pr",1.2,174.3,,,,
frame_000007,2026-06-27T16:08:49.359785+00:00,claude_api,sitting,0.85,3157.2,transition_pending,"A person is clearly visible, appearing to be seated close to the camera. The camera angle is low/upward-looking, showing the person's head and upper body with a couch/seating visible behind them, cons",1.4,170.2,,,,
frame_000008,2026-06-27T16:08:52.740244+00:00,claude_api,sitting,0.85,3375.2,signaling,"A person is clearly visible, appearing close to the camera from a low angle. The camera is positioned below them looking up, consistent with a webcam on a desk. The person appears to be seated at a de",1.1,177.2,,,,
frame_000009,2026-06-27T16:08:56.017217+00:00,claude_api,sitting,0.85,3272.5,signaling,"A person is clearly visible, appearing to be seated at a desk or table. The camera angle is looking up at them from below, suggesting they are positioned close to the camera which is likely on a desk ",1.2,177.2,,,,
frame_000010,2026-06-27T16:09:00.216302+00:00,claude_api,sitting,0.85,4194.4,signaling,"A bald man wearing glasses and a white t-shirt is clearly visible in the frame. The camera angle is from below looking up, typical of a webcam on a desk. Only his head, shoulders, and upper torso are ",1.1,177.2,,,,
frame_000011,2026-06-27T16:09:03.950803+00:00,claude_api,sitting,0.8,3729.9,cooldown,"A person is clearly visible, a bald man wearing glasses and a white t-shirt. The camera angle is low (looking up at him), suggesting he is seated at a desk or table with the camera positioned below ey",1.2,177.2,,,,
frame_000012,2026-06-27T16:09:07.486138+00:00,claude_api,sitting,0.85,3530.8,cooldown,"A person is clearly visible, bald man wearing glasses and white t-shirt. The camera angle is from below looking up at his face, with furniture visible behind him, suggesting he is seated at a desk wit",1.3,177.2,,,,
frame_000013,2026-06-27T16:09:11.323736+00:00,claude_api,sitting,0.85,3833.6,cooldown,"A bald man wearing glasses and a white t-shirt is clearly visible, appearing to be seated at a desk or table. The camera angle is looking up at him, suggesting he is close to and at the level of a des",1.3,177.3,,,,
frame_000014,2026-06-27T16:09:14.928769+00:00,claude_api,sitting,0.7,3599.6,cooldown,"A person is clearly visible - bald man with glasses wearing a white t-shirt. The camera angle is low/upward looking, suggesting he is seated at a desk or table with the camera below eye level. Only th",0.8,177.3,,,,
frame_000015,2026-06-27T16:09:18.901629+00:00,claude_api,sitting,0.75,3968.3,cooldown,"A bald man wearing glasses and a white t-shirt is clearly visible. The camera angle is low (likely a desk webcam), showing him from roughly chest/shoulder level up. He appears to be seated at a desk, ",0.8,177.3,,,,
frame_000016,2026-06-27T16:09:23.015537+00:00,claude_api,sitting,0.85,4107.6,cooldown,"A person is clearly visible, bald with glasses, wearing a white t-shirt. The camera angle is from below looking up, suggesting a webcam on a desk. The person's upper body and hand are visible close to",0.9,177.3,,,,
frame_000017,2026-06-27T16:09:26.636506+00:00,claude_api,sitting,0.85,3616.7,cooldown,"A bald man wearing glasses and a white t-shirt is clearly visible, appearing to be seated at a desk with the camera angle looking up at him from below. His posture and the low camera angle suggest he ",0.8,177.3,,,,
frame_000018,2026-06-27T16:09:30.329930+00:00,claude_api,sitting,0.8,3688.8,cooldown,"A bald man wearing glasses and a white t-shirt is visible from the chest up, with his hand raised to his chin in a thinking pose. The camera angle is low (looking up), suggesting he is seated at a des",2.3,177.4,,,,
frame_000019,2026-06-27T16:09:34.532544+00:00,claude_api,sitting,0.85,4197.7,cooldown,"A bald man wearing glasses is clearly visible, appearing to be seated based on the low camera angle looking up at him, his relaxed posture with hand raised to chin in a thinking pose, and the presence",1.7,177.4,,,,
frame_000020,2026-06-27T16:09:37.894395+00:00,claude_api,sitting,0.85,3357.4,cooldown,"A person is clearly visible - a bald man wearing glasses and a white t-shirt. The camera angle is from below looking up, suggesting he is seated at a desk with a webcam. Only his upper body/head is vi",2.2,177.4,,,,
frame_000021,2026-06-27T16:09:45.683357+00:00,claude_api,sitting,0.85,7783.5,cooldown,"A bald man wearing glasses and a white t-shirt is clearly visible. The camera angle is low (looking up at him), suggesting he is seated at a desk with the camera below eye level. His upper body and he",2.4,180.1,,,,
frame_000022,2026-06-27T16:09:50.328031+00:00,claude_api,sitting,0.85,4640.9,cooldown,"A person is clearly visible, bald with glasses and a white t-shirt, appearing to be seated at a desk or table. The camera angle is from below looking up, typical of a webcam setup on a desk. The perso",3.1,180.1,,,,
frame_000023,2026-06-27T16:09:55.651296+00:00,claude_api,sitting,0.75,5317.8,cooldown,"A bald man wearing glasses and a white t-shirt is clearly visible in the frame. The camera angle is low (looking up at him), suggesting he is seated at a desk with the webcam below eye level. His shou",2.4,175.3,,,,
frame_000024,2026-06-27T16:10:00.589225+00:00,claude_api,sitting,0.85,4932.3,cooldown,"A person is clearly visible, bald with glasses, wearing a white t-shirt. The camera angle is low (likely a desk webcam), showing the person from roughly chest/shoulder level up. The low angle and cont",2.6,180.6,,,,
frame_000025,2026-06-27T16:10:05.431701+00:00,claude_api,sitting,0.85,4837.4,monitoring,A bald man wearing glasses and a white t-shirt is clearly visible. The camera angle is low (looking up at him) suggesting he is seated at a desk with a webcam positioned below eye level. His body post,2.1,180.6,,,,
frame_000026,2026-06-27T16:10:09.746422+00:00,claude_api,sitting,0.75,3860.5,monitoring,"A person is clearly visible, bald with glasses, wearing a white t-shirt. The camera angle is low (looking up at the person), and they appear to be seated at a desk with their hand raised to their face",1.6,180.6,,,,
