frame_id,timestamp,approach,predicted,confidence,latency_ms,system_state,reasoning,cpu_pct,ram_mb,gpu_pct,ground_truth,correct,image_name
frame_000001,2026-06-27T17:18:03.547880+00:00,claude_api,sitting,0.7,3694.9,error,"A bald man wearing glasses and a white t-shirt is visible from the shoulders up, looking upward. The camera angle is low/wide-angle suggesting he is seated at a desk with the webcam positioned below e",0.0,165.7,,,,
frame_000002,2026-06-27T17:18:07.028815+00:00,claude_api,sitting,0.75,3468.5,error,"A bald man wearing glasses is visible from the shoulders up, viewed from a low camera angle looking upward. The camera appears to be on a desk, and the person is positioned close to it, suggesting he ",1.5,171.5,,,,
frame_000003,2026-06-27T17:18:10.612573+00:00,claude_api,sitting,0.75,3576.6,error,"A bald man wearing glasses and a white t-shirt is visible from a low camera angle (likely a webcam on a desk). Only his head and upper torso are visible, suggesting he is seated at a desk. The camera ",1.7,174.2,,,,
frame_000004,2026-06-27T17:18:13.862129+00:00,claude_api,sitting,0.75,3244.0,transition_pending,"A bald man wearing glasses and a white t-shirt is clearly visible. The camera angle is low (webcam below face level), and only his head and upper torso are visible. This perspective is consistent with",1.3,188.3,,,,
frame_000005,2026-06-27T17:18:16.861484+00:00,claude_api,sitting,0.92,2991.7,transition_pending,"A man is clearly visible close to the camera at a desk with various items on it. His head and upper torso are visible, positioned at desk level, consistent with being seated at a desk/workstation.",1.5,188.3,,,,
frame_000006,2026-06-27T17:18:19.728294+00:00,claude_api,sitting,0.9,2860.2,transition_pending,"A person is clearly visible, appearing to be seated at a desk. Their head and upper torso are visible close to the camera, consistent with someone sitting at a desk/workstation with a cluttered desk s",1.6,190.9,,,,
frame_000007,2026-06-27T17:18:22.900757+00:00,claude_api,sitting,0.9,3165.7,transition_pending,"A person is clearly visible at a desk with a cluttered workspace behind them. Their head and shoulders are visible close to the camera, consistent with being seated at a desk. The camera angle and pro",1.5,187.0,,,,
frame_000008,2026-06-27T17:18:25.667901+00:00,claude_api,sitting,0.85,2760.7,signaling,"A person is clearly visible, bald man wearing glasses and white t-shirt, appearing to be seated at a desk with items visible behind him. The camera angle is slightly below eye level suggesting he is s",1.2,188.7,,,,
frame_000009,2026-06-27T17:18:28.534189+00:00,claude_api,sitting,0.85,2859.4,signaling,"A bald man wearing glasses and a white t-shirt is visible close to the camera, appearing to be at a desk with various items visible behind him. His position and the camera angle suggest he is seated a",1.2,191.3,,,,
frame_000010,2026-06-27T17:18:31.708395+00:00,claude_api,sitting,0.9,3167.3,cooldown,"A person is clearly visible, appearing close to the camera at a desk with various items around them. Their position relative to the desk and the camera angle strongly suggests they are seated, with th",1.5,191.4,,,,
frame_000011,2026-06-27T17:18:34.679529+00:00,claude_api,sitting,0.85,2964.5,cooldown,"A man is clearly visible at what appears to be a desk with various items on it. He is viewed from slightly above, showing his head and upper torso, consistent with someone seated at a desk in front of",1.4,191.4,,,,
frame_000012,2026-06-27T17:18:38.160985+00:00,claude_api,sitting,0.85,3475.2,cooldown,"A person is clearly visible, bald with glasses and white t-shirt, appearing close to the camera at a desk with various items. The camera angle is from above/level suggesting they are seated at a desk,",1.4,191.4,,,,
frame_000013,2026-06-27T17:18:41.453038+00:00,claude_api,sitting,0.85,3286.2,cooldown,"A person is clearly visible, bald man wearing glasses and white t-shirt, appearing to be seated at a desk with various items on it. The camera angle is low/close suggesting he is seated, with his shou",1.4,191.4,,,,
frame_000014,2026-06-27T17:18:44.816590+00:00,claude_api,sitting,0.85,3357.9,cooldown,"A person is clearly visible at what appears to be a desk with various items on it. The camera angle is from above/eye level looking down slightly, and the person appears to be seated at the desk based",1.2,191.4,,,,
frame_000015,2026-06-27T17:18:47.479258+00:00,claude_api,sitting,0.9,2657.0,cooldown,"A man is visible from the shoulders up, positioned close to a desk with items on it. His low camera angle and proximity to the desk surface strongly suggest he is seated at the desk.",1.5,191.4,,,,
