frame_id,timestamp,approach,predicted,confidence,latency_ms,system_state,reasoning,cpu_pct,ram_mb,gpu_pct,ground_truth,correct,image_name
frame_000001,2026-06-27T17:10:13.419842+00:00,claude_api,sitting,0.7,3607.0,error,"A person is clearly visible - a bald man wearing glasses and a white t-shirt. The camera angle is from below looking up, typical of a webcam on a desk. Only the head and upper shoulders are visible, w",0.0,164.2,,,,
frame_000002,2026-06-27T17:10:16.594773+00:00,claude_api,sitting,0.6,3162.1,error,"A bald man wearing glasses is clearly visible. The camera angle is low (looking up at him), suggesting he is seated at a desk with the webcam below eye level. Only his head and upper torso are visible",2.0,170.0,,,,
frame_000003,2026-06-27T17:10:20.196645+00:00,claude_api,sitting,0.75,3595.3,transition_pending,"A bald man wearing glasses and a white t-shirt is clearly visible. The camera angle is very low (looking up at him), suggesting he is seated at a desk with the webcam positioned below eye level. His u",1.4,186.7,,,,
frame_000004,2026-06-27T17:10:23.253453+00:00,claude_api,sitting,0.85,3049.5,transition_pending,"A person is clearly visible, bald man with glasses wearing a white shirt. He appears to be seated at a desk/workspace, positioned close to the camera. His head and upper torso are visible, consistent ",1.7,181.5,,,,
frame_000005,2026-06-27T17:10:26.734881+00:00,claude_api,sitting,0.85,3475.4,transition_pending,"A person is clearly visible, bald with glasses and a white t-shirt. They appear to be seated at a desk based on their position close to the camera, with a cluttered desk surface visible to the right a",1.3,181.6,,,,
frame_000006,2026-06-27T17:10:29.752916+00:00,claude_api,sitting,0.85,3011.3,transition_pending,"A person is clearly visible, appearing to be seated at a desk with items and clutter visible behind them. Their head and upper torso are visible close to the camera, consistent with someone sitting at",1.5,184.2,,,,
frame_000007,2026-06-27T17:10:32.671862+00:00,claude_api,sitting,0.87,2911.5,signaling,"A person is clearly visible, appearing to be seated at a desk with various items visible in the background. The camera angle is close-up showing head and upper torso, with the person appearing to be a",2.7,180.3,,,,
frame_000008,2026-06-27T17:10:44.716178+00:00,claude_api,sitting,0.85,3023.8,transition_pending,"A person is clearly visible, bald man with glasses looking upward. The camera angle is below his face suggesting he is seated at a desk with a webcam, and only his upper torso and head are visible, co",4.4,203.4,,,,
frame_000009,2026-06-27T17:10:47.836827+00:00,claude_api,sitting,0.7,3117.2,transition_pending,"A man is clearly visible facing the camera. The close framing shows his head and upper chest/shoulders. The camera angle appears to be at desk level looking up slightly, suggesting he is seated at a d",1.0,195.6,,,,
frame_000010,2026-06-27T17:10:51.004351+00:00,claude_api,sitting,0.75,3164.9,transition_pending,"A person is clearly visible - a bald man wearing glasses and a white t-shirt. The camera angle is looking slightly upward at his face, suggesting he is seated at a desk with a webcam positioned at or ",2.3,180.1,,,,
frame_000011,2026-06-27T17:10:53.755740+00:00,claude_api,sitting,0.75,2748.0,transition_pending,"A man with glasses is clearly visible, appearing to be viewed from a slightly elevated angle (typical of a desk/monitor camera). His head and upper torso are visible, and the camera angle and framing ",1.1,180.1,,,,
frame_000012,2026-06-27T17:10:57.556405+00:00,claude_api,sitting,0.75,3797.7,signaling,"A man with glasses is visible from the chest up, appearing to be seated at a desk or table. His shoulders are level and he appears to be in a relaxed seated position close to the camera, consistent wi",0.8,180.1,,,,
frame_000013,2026-06-27T17:11:01.142228+00:00,claude_api,absent,0.95,3583.0,error,The image is almost entirely dark with only two small light sources visible. No person can be detected in this very dark image.,0.8,180.2,,,,
frame_000014,2026-06-27T17:11:03.597800+00:00,claude_api,sitting,0.75,2453.1,error,"A person is clearly visible, appearing to be seated close to the camera. Only the upper body/face is visible, and the camera angle suggests they are at desk/table level, consistent with a seated posit",2.3,180.2,,,,
frame_000015,2026-06-27T17:11:06.362387+00:00,claude_api,absent,0.97,2762.1,error,The image is nearly completely dark with only two small light sources visible. No person is discernible in the scene.,1.0,180.2,,,,
frame_000016,2026-06-27T17:11:08.411129+00:00,claude_api,absent,0.97,2046.5,transition_pending,The image is nearly completely dark with only two small light sources visible. No person can be seen in the image.,1.7,193.0,,,,
frame_000017,2026-06-27T17:11:11.684419+00:00,claude_api,sitting,0.85,3270.2,transition_pending,"A person is clearly visible, bald with glasses, wearing a white shirt. They appear to be seated at a desk with items visible behind them. Their position close to the camera at desk level and the prese",1.4,198.1,,,,
frame_000018,2026-06-27T17:11:15.266888+00:00,claude_api,sitting,0.85,3574.6,transition_pending,"A person is clearly visible, bald with glasses, wearing a white shirt. They appear to be seated at a desk with items visible behind them. Their head and upper torso are visible close to the camera, wi",1.3,200.8,,,,
frame_000019,2026-06-27T17:11:21.786951+00:00,claude_api,sitting,0.85,6513.8,transition_pending,"A person is clearly visible, bald with glasses, wearing a white shirt. They appear to be seated at a desk with various items visible in the background. Their position close to the camera with a desk s",0.7,203.4,,,,
frame_000020,2026-06-27T17:11:24.794961+00:00,claude_api,sitting,0.85,3001.8,transition_pending,"A bald man wearing glasses and a white shirt is visible close to the camera. His position relative to the desk/clutter behind him and his proximity to the camera suggests he is seated at a desk, with ",0.9,203.5,,,,
